priority,segment,company,market,website,source_url,contact_path,public_signal,why_fit,invite_angle,status
P1,n8n partner,FastRocket GmbH,Germany,https://fastrocket.de,https://experts.n8n.io/partner/fastrocket-gmbh,https://experts.n8n.io/partner/fastrocket-gmbh,"n8n partner; AI-powered data processing; ERP/CRM/API integration; cloud and on-prem deployment; monitoring","Strong fit for an AI workflow risk scorecard because they build production-grade automation for Mittelstand manufacturing and complex system landscapes.","Invite them to test the scorecard on one client-style workflow and see whether the risk categories match what they already harden.",research_only
P1,n8n partner,AOE Group,Germany,https://www.aoe.com,https://experts.n8n.io/partner/aoe-group,https://experts.n8n.io/partner/aoe-group,"n8n partner; AI automation; secure/testable/scalable workflows; managed n8n; governance; enterprise readiness","Excellent fit because they explicitly position around production AI automation, secure architecture, observability, CI/CD, and regulated/enterprise needs.","Ask for expert feedback on whether the scorecard catches the first risks they look for in production n8n deployments.",research_only
P1,n8n partner,TrueHorizon AI,United States,https://truehorizon.ai,https://experts.n8n.io/partner/truehorizon-ai,https://experts.n8n.io/partner/truehorizon-ai,"n8n partner; autonomous AI-agentic systems; no-code/low-code AI automation; human-in-the-loop review signal","Good validation target because they build autonomous AI systems for business processes and should recognize approval, credential, and permission risks.","Invite them to benchmark the scorecard against one autonomous workflow they would consider client-ready.",research_only
P1,n8n partner,InfoGrab,South Korea,https://www.infograb.net,https://experts.n8n.io/,https://experts.n8n.io/,"AI-native automation; AI DevOps; enterprise self-hosted n8n; integrations and governance","Strong partner-style prospect because they operate self-hosted n8n platforms and care about production readiness and governance.","Invite them to test whether the scorecard maps well to enterprise self-hosted n8n risks.",research_only
P1,n8n partner,AI Automation Engineering,Unknown,https://experts.n8n.io/,https://experts.n8n.io/,https://experts.n8n.io/,"AI-native workflows on n8n; ROI-focused automation; support; POCs and training","Good early invite because their offer is close to our buyer language: AI-native workflows that need operational guardrails.","Ask them to run the scorecard against one workflow and tell us what question is missing.",research_only
P1,n8n partner,Data4Prime Srl,Italy,https://www.data4prime.com,https://experts.n8n.io/,https://experts.n8n.io/,"n8n partner; intelligent workflows; cloud-native architecture; analytics; AI-augmented workflows","Good fit because they bridge data, analytics, cloud, and n8n automation, which often touches sensitive internal systems.","Invite them to test the scorecard with a document or CRM workflow and compare it to their implementation checklist.",research_only
P1,n8n partner,Workfloows,Europe,https://workfloows.com,https://experts.n8n.io/,https://experts.n8n.io/,"n8n automation agency; web scraping; AI/LLM workflows; system integrations; public templates","Good fit because they likely see a wide range of lightweight AI workflows that can become risky when connected to real tools.","Invite them to use the scorecard as a client discovery add-on and give feedback on the wording.",research_only
P1,n8n partner,cimt,Germany,https://www.cimt-ag.de,https://experts.n8n.io/,https://experts.n8n.io/,"Agentic AI; process automation; SAP/ERP/CRM integration; governance; ISO 27001 signal","Strong fit for German mid-market/regulatory angle, especially workflows touching SAP, finance, IT, and enterprise systems.","Invite them to critique the scorecard from a compliance and German Mittelstand production-readiness perspective.",research_only
P1,n8n partner,Symplytics,Canada,https://symplytics.ca,https://experts.n8n.io/,https://experts.n8n.io/,"n8n, AI, APIs; ERP/CRM integrations; document workflows; training and enablement","Good fit because their clients likely need practical, non-theoretical risk checks before scaling automation internally.","Offer the scorecard as a lightweight pre-audit they can try before client workshops.",research_only
P1,n8n partner,Horizon Dev,Unknown,https://horizondev.co,https://experts.n8n.io/,https://experts.n8n.io/,"n8n-powered systems; AI integrations; backend tooling; performance and monitoring","Good fit for technical automation work where workflows can cross from simple automation into production engineering risk.","Invite them to test the scorecard against one high-value automation and suggest developer-focused improvements.",research_only
P1,n8n partner,Varegos,Latin America,https://varegos.com,https://experts.n8n.io/,https://experts.n8n.io/,"n8n; hyperautomation; self-hosted/cloud; LangChain; custom nodes; governance language","Good fit because they mention AI agents, custom nodes, self-hosting, and security control as part of n8n implementation.","Invite them to compare our scorecard with their n8n implementation best practices.",research_only
P1,Make partner,The Automation Partner,Global,https://theautomationpartner.com,https://www.make.com/en/partners-directory/the-automation-partner,https://www.make.com/en/partners-directory/the-automation-partner,"Make certified partner; AI implementation; Salesforce/NetSuite; LLMs and vision; enterprise automation","Strong fit because they build end-to-end Make automations involving CRMs, ERPs, documents, AI decisions, and multi-channel actions.","Invite them to run the scorecard on one AI-assisted Make scenario and tell us whether it helps qualify risk before build.",research_only
P1,Make partner,Automation Ace,United States,https://automationace.com,https://www.make.com/en/partners-directory/automation-ace,https://www.make.com/en/partners-directory/automation-ace,"Make certified partner; AI plus no-code and low-code workflow automation","Good fit for a concise validation ask because their public positioning is exactly AI plus low-code workflow automation.","Invite them to sanity-check the scorecard as a quick client intake tool.",research_only
P1,Make partner,Wemakefuture,Germany,https://www.wemakefuture.com,https://www.make.com/en/partners-directory/wemakefuture,https://www.make.com/en/partners-directory/wemakefuture,"Make certified partner; business automation; enterprise automation; Germany/EU cloud automation positioning","Good German-language future prospect and possible referral partner for workflow hardening/audit add-ons.","Invite them to test the scorecard as a pre-project risk screen for German automation customers.",research_only
P1,Make partner,Operative,Netherlands,https://operative.pro/contact,https://www.make.com/en/partners-directory/operative,https://operative.pro/contact,"Make partner; API integrations; custom apps; ChatGPT integrations; business process automation","Good fit because they work on API-heavy Make scenarios that may involve credentials and customer data.","Invite them to try the scorecard on a custom API integration scenario.",research_only
P2,Make partner,Daily Automations,United States,https://dailyautomations.com,https://www.make.com/en/partners-directory/daily-automations,https://dailyautomations.com,"Make partner; small business workflow automation; implementation and support","Useful test subject for SMB language, even if AI signal is weaker than P1 prospects.","Invite them to test whether the scorecard is understandable for smaller clients adopting automation.",research_only
