rank,priority,company,segment,market,website,contact_path,source_url,public_signal,why_first,copy_variant,personalization_fragment,status
1,P1,AOE Group,n8n partner,Germany,https://www.aoe.com,https://experts.n8n.io/partner/aoe-group,https://experts.n8n.io/partner/aoe-group,"Certified n8n partner; secure/testable/scalable AI automation; production deployment; governance; managed n8n; enterprise integrations","Best category-language match. They already talk about secure production AI automation, governance, observability, CI/CD, and compliant managed n8n.","Email Variant B","your n8n partner profile mentioning secure, testable, scalable AI automation and production-ready workflow engineering",not_contacted
2,P1,relyon AG,n8n partner,Germany/Austria/Switzerland,https://www.relyon.de/en/services/ai-automation,https://experts.n8n.io/partner/relyon-ag,https://experts.n8n.io/partner/relyon-ag,"Certified n8n partner; production-ready workflows; AI models/agents/decision logic; secure, auditable automation; hardening and governance","Very high fit because their public positioning says workflows must move from experimentation to reliable automation backbone, exactly the OctoBot wedge.","Email Variant B","your focus on production-ready, secure, auditable n8n workflows and AI-powered automation",not_contacted
3,P1,cimt,n8n partner,Germany,https://www.cimt-ag.de,https://experts.n8n.io/partner/cimt,https://experts.n8n.io/partner/cimt,"Certified n8n expert partner; ISO 27001; Agentic AI; SAP/ERP/CRM; secure architecture, governance, monitoring, operational scaling","Excellent German mid-market/regulatory fit. Likely to understand the business value of a risk scorecard before production rollout.","Email Variant B or German Variant","your work on Agentic AI, SAP/ERP/CRM workflows, governance, and ISO 27001-oriented automation",not_contacted
4,P1,FastRocket GmbH,n8n partner,Germany,https://fastrocket.de,https://experts.n8n.io/partner/fastrocket-gmbh,https://experts.n8n.io/partner/fastrocket-gmbh,"Certified n8n partner; Mittelstand focus; ERP/CRM/API/legacy database integrations; AI-powered data processing and decision support","Good likely-response fit: Germany, narrower budgets, practical engineering, and clients with complex real systems.","Email Variant A or German Variant","your Mittelstand-focused n8n work connecting ERP, CRM, APIs, legacy databases, and AI-powered processing",not_contacted
5,P1,TrueHorizon AI,n8n partner,United States,https://truehorizon.ai,https://experts.n8n.io/partner/truehorizon-ai,https://experts.n8n.io/partner/truehorizon-ai,"Certified n8n partner; autonomous AI-agentic systems; responsible and sustainable AI adoption; human-in-the-loop review signal","Strong agency validation target because they build autonomous systems and should care about where approvals, scopes, and controls sit.","Email Variant A","your focus on autonomous AI-agentic systems and practical no-code/low-code AI automation",not_contacted
6,P1,N8N Lab,automation agency,Global,https://n8nlab.io,https://n8nlab.io/services,https://n8nlab.io/services,"Custom AI agents; production-ready OpenClaw agents; validation layers; enterprise tool access; CRM/ERP/API integration; agentic systems at scale","Excellent scorecard tester because they publish operational AI-agent content and mention enterprise tool access and validation layers directly.","Email Variant A","your services around custom AI agents, validation layers, enterprise tool access, and n8n workflows",not_contacted
7,P1,SynkrAI,automation agency,India/global,https://www.synkrai.com,https://www.synkrai.com,https://www.synkrai.com,"AI agent development; n8n/Make/Zapier automation; LangChain/CrewAI; SaaS product development; CRM agents and business workflows","Good volume-and-speed tester. They speak the same tool language and likely see many SMB workflows that need a simple risk diagnostic.","Email Variant A","your work across AI agent development, n8n/Make/Zapier automation, LangChain, CrewAI, and CRM agents",not_contacted
8,P1,The Automation Partner,Make partner,Global,https://theautomationpartner.com,https://www.make.com/en/partners-directory/the-automation-partner,https://www.make.com/en/partners-directory/the-automation-partner,"Certified Make partner; AI implementation; Salesforce/NetSuite; LLMs and vision; enterprise automation; document workflows","Best Make-first prospect in the current batch because they connect AI with enterprise systems and document workflows, a strong risk surface.","Email Variant A","your Make partner profile around AI implementation, Salesforce/NetSuite automation, and document workflows",not_contacted
9,P1,Composio,MCP/agent tooling,Global,https://composio.dev,https://composio.dev,https://docs.composio.dev/mcp/introduction,"AI agent tool integration; 500+ toolkits; OAuth/API key auth; MCP servers; fine-grained permissions","High-fit product-team feedback prospect. Less likely to be a buyer, but very useful for validating category language around agent tool access.","Email Variant C","your work connecting AI agents to external tools with MCP, OAuth/API-key auth, and fine-grained permissions",not_contacted
10,P1,Arcade.dev,MCP/agent tooling,United States,https://www.arcade.dev,https://www.arcade.dev,https://www.arcade.dev,"MCP runtime; secure production AI agents; authorization, reliability, governance; real actions in Google, Slack, Salesforce","High-fit market-intelligence prospect because their positioning overlaps almost perfectly with production agent authorization and governance.","Email Variant C","your MCP runtime work around secure production AI agents, authorization, reliability, and governance",not_contacted
